Entity,Code,Year,Annual precipitation
World,OWID_WRL,1940,1061.6096
World,OWID_WRL,1941,1048.8441
World,OWID_WRL,1942,1038.4497
World,OWID_WRL,1943,1046.4113
World,OWID_WRL,1944,1061.9877
World,OWID_WRL,1945,1070.0869
World,OWID_WRL,1946,1059.1554
World,OWID_WRL,1947,1049.1825
World,OWID_WRL,1948,1038.7593
World,OWID_WRL,1949,1038.7827
World,OWID_WRL,1950,1032.782
World,OWID_WRL,1951,1035.6505
World,OWID_WRL,1952,1037.1124
World,OWID_WRL,1953,1041.1052
World,OWID_WRL,1954,1038.5463
World,OWID_WRL,1955,1034.8029
World,OWID_WRL,1956,1028.9681
World,OWID_WRL,1957,1033.5991
World,OWID_WRL,1958,1030.3516
World,OWID_WRL,1959,1032.7169
World,OWID_WRL,1960,1035.4994
World,OWID_WRL,1961,1043.8403
World,OWID_WRL,1962,1032.9768
World,OWID_WRL,1963,1046.1824
World,OWID_WRL,1964,1048.8712
World,OWID_WRL,1965,1047.6154
World,OWID_WRL,1966,1048.2458
World,OWID_WRL,1967,1056.9891
World,OWID_WRL,1968,1054.7954
World,OWID_WRL,1969,1058.1105
World,OWID_WRL,1970,1050.1315
World,OWID_WRL,1971,1046.6223
World,OWID_WRL,1972,1065.5579
World,OWID_WRL,1973,1066.5167
World,OWID_WRL,1974,1053.2218
World,OWID_WRL,1975,1048.1957
World,OWID_WRL,1976,1041.0818
World,OWID_WRL,1977,1046.8508
World,OWID_WRL,1978,1044.8271
World,OWID_WRL,1979,1048.1791
World,OWID_WRL,1980,1064.7465
World,OWID_WRL,1981,1058.1052
World,OWID_WRL,1982,1057.9684
World,OWID_WRL,1983,1061.23
World,OWID_WRL,1984,1052.1661
World,OWID_WRL,1985,1049.2887
World,OWID_WRL,1986,1051.5057
World,OWID_WRL,1987,1054.6912
World,OWID_WRL,1988,1053.7886
World,OWID_WRL,1989,1038.5679
World,OWID_WRL,1990,1045.5492
World,OWID_WRL,1991,1038.1543
World,OWID_WRL,1992,1031.6818
World,OWID_WRL,1993,1033.7965
World,OWID_WRL,1994,1036.4825
World,OWID_WRL,1995,1045.6304
World,OWID_WRL,1996,1051.2118
World,OWID_WRL,1997,1057.6815
World,OWID_WRL,1998,1077.0065
World,OWID_WRL,1999,1052.6797
World,OWID_WRL,2000,1071.9323
World,OWID_WRL,2001,1070.318
World,OWID_WRL,2002,1072.3181
World,OWID_WRL,2003,1076.0167
World,OWID_WRL,2004,1076.4044
World,OWID_WRL,2005,1070.9519
World,OWID_WRL,2006,1075.5674
World,OWID_WRL,2007,1081.1754
World,OWID_WRL,2008,1077.4894
World,OWID_WRL,2009,1076.6653
World,OWID_WRL,2010,1089.3351
World,OWID_WRL,2011,1079.337
World,OWID_WRL,2012,1075.3577
World,OWID_WRL,2013,1078.944
World,OWID_WRL,2014,1078.8685
World,OWID_WRL,2015,1083.3408
World,OWID_WRL,2016,1095.5259
World,OWID_WRL,2017,1090.0447
World,OWID_WRL,2018,1084.9327
World,OWID_WRL,2019,1084.1143
World,OWID_WRL,2020,1081.4116
World,OWID_WRL,2021,1066.737
World,OWID_WRL,2022,1064.1299
World,OWID_WRL,2023,1056.9631
World,OWID_WRL,2024,1073.1846
